Table 10.21,,,,,,,,,,,,
"NUMBER OF SCHOOLS, EXAMINEES AND DISTRIBUTION OF PASSERS BY SEX",,,,,,,,,,,,
IN VARIOUS LICENSURE EXAMINATION,,,,,,,,,,,,
2012 and 2013,,,,,,,,,,,,
,,,,,,,,,,,,
Licensure Examination,Schools,,Examinees,,Passers,,,,,,Overall,
,,,,,2012 ,,,2013 ,,,Passing Rate,
,2012 ,2013 ,2012 ,2013 ,Total,Female,Male,Total,Female,Male,2012 ,2013 
,,,,,,,,,,,,
Total,"7,826","7,705","391,929","403,651","167,890","109,760","58,130","158,519","100,598","57,921", 42.84 , 39.27 
,,,,,,,,,,,,
Aeronautical Engineers,8,9,170,248,85,10,75,113,13,100, 50.00 , 45.56 
Agricultural Engineers,50,53,530,601,253,105,148,237,101,136, 47.74 , 39.43 
Agriculturist,205,222,"3,518","4,861","1,334",636,698,"1,712",843,869, 37.92 , 35.22 
Architects,84,81,"3,564","3,324","1,809",656,"1,153","1,717",627,"1,090", 50.76 , 51.65 
Certified Public Accountants,433,428,"15,302","16,061","6,767","4,335","2,432","5,799","3,689","2,110", 44.22 , 36.11 
Chemical Engineers,41,37,"1,160","1,172",625,332,293,633,361,272, 53.88 , 54.01 
Chemists,45,43,642,571,292,151,141,320,194,126, 45.48 , 56.04 
Civil Engineers,239,234,"9,063","10,183","3,510",952,"2,558","4,710","1,417","3,293", 38.73 , 46.25 
Criminologists,437,431,"34,029","38,262","10,996","2,253","8,743","16,918","3,709","13,209", 32.31 , 44.22 
Customs Brokers,63,61,"1,212","1,278",494,235,259,533,313,220, 40.76 , 41.71 
Dentists (Practical only),26,28,366,547,359,274,85,519,358,161, 98.09 , 94.88 
Electronics Engineers,216,208,"7,550","8,110","3,947","1,253","2,694","2,884",862,"2,022", 52.28 , 35.56 
Environmental Planners,41,48,107,138,65,31,34,71,28,43, 60.75 , 51.45 
Fisheries Technologists,67,a,376,a,95,45,50,a,a,a, 25.27 ,a
Foresters,51,55,440,638,166,74,92,189,89,100, 37.73 , 29.62 
Geodetic Engineers,33,34,351,384,123,26,97,144,53,91, 35.04 , 37.50 
