"TABLE 10.21  Number of Schools, Examinees, and Distribution of Passers by Sex in Various Licensure Examination: 2015 and 2017",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Licensure Examination,Schools,,Examinees,,Passers,,,,,,Overall,,,,,,,,,,
,,,,,2016 ,,,2015 ,,,Passing Rate,,,,,,,,,,
,2016 ,2015,2016 ,2015,Total,Female,Male,Total,Female,Male,2016 ,2015 ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Total,"8,606"," 8,592 ","466,110","443,775","174,302","114,195","60,107","174,642","114,984","59,658",37.40,39.35,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Aeronautical Engineers,8,7,314,271,170,27,143,165,22,143,54.14,60.89,,,,,,,,,
Agricultural Engineers,57,52,"1,002",841,396,167,229,340,141,199,39.52,40.43,,,,,,,,,
Agriculturist,215,223,"5,794","6,080","1,790",931,859,"1,888",956,932,30.89,31.05,,,,,,,,,
Architects,95,88,"3,780","3,392","2,109",923,"1,186","2,068",816,"1,252",55.79,60.97,,,,,,,,,
Certified Public Accountants,486,457,"21,304","19,276","8,216","5,464","2,752","7,600","4,977","2,623",38.57,39.43,,,,,,,,,
Chemical Engineers,40,40,"1,417","1,279",854,448,406,705,365,340,60.27,55.12,,,,,,,,,
Chemists,46,45,"1,019",771,559,343,216,414,240,174,54.86,53.70,,,,,,,,,
Civil Engineers,260,239,"16,853","13,793","7,281","2,330","4,951","5,296","1,592","3,704",43.20,37.40,,,,,,,,,
Criminologists,551,497,"51,200","44,287","14,829","4,432","10,397","14,008","3,884","10,124",28.96,31.63,,,,,,,,,
Customs Brokers,68,65,"2,022","1,764","1,030",588,442,721,421,300,50.94,40.87,,,,,,,,,
Dentists (Practical only),29,30,972,744,965,723,242,719,519,200,99.28,96.64,,,,,,,,,
Electronics Engineers,218,210,"7,224","7,019","2,831",912,"1,919","2,676",778,"1,898",39.19,38.13,,,,,,,,,
Environmental Planners,240,134,"1,010",357,542,245,297,178,63,115,53.66,49.86,,,,,,,,,
Fisheries Technologists,102,98,"1,391","1,014",457,248,209,366,183,183,32.85,36.09,,,,,,,,,
Foresters,71,64,"1,370",961,633,328,305,461,222,239,46.20,47.97,,,,,,,,,
Geodetic Engineers,35,40,555,510,232,83,149,179,62,117,41.80,35.10,,,,,,,,,
Geologists,7,a,662,a,333,161,172,a,a,a,50.30,a,,,,,,,,,
Guidance Counselors,130,129,390,419,239,197,42,252,210,42,61.28,60.14,,,,,,,,,
Interior Designers,28,22,419,335,213,179,34,204,175,29,50.84,60.90,,,,,,,,,
Landscape Architects,3,b,73,b,51,27,24,b,b,b,69.86,b,,,,,,,,,
Librarians,89,83,"1,140",742,738,595,143,349,274,75,64.74,47.04,,,,,,,,,
Marine Deck Officers-Operational Level ,c,c,c,c,c,c,c,c,c,c,c,c,,,,,,,,,
Marine Engine Officers-Operational Level ,c,c,c,c,c,c,c,c,c,c,c,c,,,,,,,,,
Mechanical Engineers,165,151,"6,115","5,113","4,020",498,"3,522","2,875",293,"2,582",65.74,56.23,,,,,,,,,
Medical Technologists,120,95,"7,722","6,782","6,190","4,591","1,599","5,467","4,009","1,458",80.16,80.61,,,,,,,,,
Metallurgical Engineers,3,3,71,81,58,29,29,53,30,23,81.69,65.43,,,,,,,,,
Midwives,327,307,"5,230","4,834","2,627","2,493",134,"2,155","2,051",104,50.23,44.58,,,,,,,,,
Mining Engineers,11,9,259,214,211,69,142,173,70,103,81.47,80.84,,,,,,,,,
Naval Architecture & Marine Engineers,5,4,99,77,38,9,29,39,13,26,38.38,50.65,,,,,,,,,
Nurses,506,502,"28,504","36,391","13,019","10,223","2,796","18,821","14,543","4,278",45.67,51.72,,,,,,,,,
Nutritionists-Dietitians,d,47,d,"1,089",d,d,d,705,599,106,d,64.74,,,,,,,,,
Occupational Therapists,16,16,331,257,169,130,39,161,114,47,51.06,62.65,,,,,,,,,
Optometrists ,10,9,131,113,112,90,22,105,76,29,85.50,92.92,,,,,,,,,
Pharmacists,67,56,"5,494","5,437","2,893","2,408",485,"3,296","2,672",624,52.66,60.62,,,,,,,,,
Physical Therapists,430,82,"2,155","1,634","1,367",853,514,962,580,382,63.43,58.87,,,,,,,,,
Physicians,54,45,"4,739","3,753","3,382","2,026","1,356","3,085","1,898","1,187",71.37,82.20,,,,,,,,,
Psychologist,33,22,120,76,63,54,9,36,27,9,52.50,47.37,,,,,,,,,
Psychometricians,274,…,"7,312",…,"3,690","3,048",642,…,…,…,50.46,…,,,,,,,,,
Radiologic Technologists,97,78,"3,831","3,043","1,639",980,659,"1,325",752,573,42.78,43.54,,,,,,,,,
Registered Electrical Engineers,195,184,"6,072","5,658","3,625",500,"3,125","3,420",460,"2,960",59.70,60.45,,,,,,,,,
Real Estate Brokers,…,901,…,"10,370",…,…,…,"5,220","2,804","2,416",…,50.34,,,,,,,,,
Respiratory Therapists,22,18,818,600,582,374,208,407,248,159,71.15,67.83,,,,,,,,,
Sanitary Engineers,16,11,199,188,116,35,81,101,52,49,58.29,53.72,,,,,,,,,
Social Workers,e,96,e,"2,654",e,e,e,"1,817","1,503",314,e,68.46,,,,,,,,,
Teachers-Elementary level,1416,"1,397","120,183","112,578","35,506","29,933","5,573","33,564","28,339","5,225",29.54,29.81,,,,,,,,,
Teachers-Secondary level,2005,"1,976","145,839","138,049","50,144","36,290","13,854","51,914","37,755","14,159",34.38,37.61,,,,,,,,,
Veterinarians,25,23,762,719,327,183,144,299,165,134,42.91,41.59,,,,,,,,,
X-Ray Technologists,31,37,213,210,56,28,28,53,31,22,26.29,25.24,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Note: Only CHED Monitored Licensure examinations are included, statistics for special examinations conducted abroad are not included. ",,,,,,,,,,,,,,,,,,,,,
"           a  PRC Resolution No. 2015-949 dated Nov. 4, 2015 sought to indefintely postpone the Geologists licensure exam until the new members of the Board have ",,,,,,,,,,,,,,,,,,,,,
             been duly appointed and qualified.,,,,,,,,,,,,,,,,,,,,,
"                 b  PRC Resolution No. 2015-01 dated March 5, 2015 sought to indefinitely postpone the BELA until the new members of the Board have been duly appointed and qualified.",,,,,,,,,,,,,,,,,,,,,
"                 c  Republic Act No. 10635 dated March 14, mandated the transfer of jurisdiction from the PRC to MARINA of the Board of Marine Deck Officers and Board of",,,,,,,,,,,,,,,,,,,,,
              Marine Engineer Officer licensure examinations.,,,,,,,,,,,,,,,,,,,,,
"                 d  PRC Resolution No. 2016-993 dated July 21, 2016 sought to indefinitely postpone the Nutritionist - Dietitians licensure exam until the new members of the Board",,,,,,,,,,,,,,,,,,,,,
                 have been duly appointed and qualified.,,,,,,,,,,,,,,,,,,,,,
"                 e  PRC Resolution No. 2016-993 dated June 29, 2016 sought to indefinitely postpone the Social Workers licensure exam until the new members of the Board have ",,,,,,,,,,,,,,,,,,,,,
                 been duly appointed and qualified.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source: Professional Regulation Commission,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
