"TABLE 10.20  Number of Schools, Examinees, and Distribution of Passers by Sex in Various Licensure Examination: 2020 and 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Licensure Examination,No. of Schools,,No. of Examinees,,No. of Passers,,,,,,Overall,,,,,,,,,,,,,,,,,,,,,
,,,,,2021 ,,,2020 ,,,Passing Rate,,,,,,,,,,,,,,,,,,,,,
,2021 ,2020 ,2021 ,2020 ,Total,Female,Male,Total,Female,Male,2021 ,2020 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"6,127",422,"138,404","13,318","66,195","39,918","26,277","7,929","3,134","4,795",47.83,59.54,,,,,,,,,,,,,,,,,,,,
Aeronautical Engineers,8,...,241,...,108,16,92,...,...,...,44.81,...,,,,,,,,,,,,,,,,,,,,
Agricultural Engineers,53,...,"1,391",...,507,238,269,...,...,...,36.45,...,,,,,,,,,,,,,,,,,,,,
Agriculturists,236,...,"3,927",...,"1,172",596,576,...,...,...,29.84,...,,,,,,,,,,,,,,,,,,,,
Architects,65,94,849,"2,229",560,292,268,"1,242",639,603,65.96,55.72,,,,,,,,,,,,,,,,,,,,
Certified Public Accountants,300,...,"3,816",...,679,377,302,...,...,...,17.79,...,,,,,,,,,,,,,,,,,,,,
Chemical Engineers,34,...,677,...,321,158,163,...,...,...,47.42,...,,,,,,,,,,,,,,,,,,,,
Chemists,120,...,369,...,134,82,52,...,...,...,36.31,...,,,,,,,,,,,,,,,,,,,,
Civil Engineers,242,...,"6,469",...,"2,374",827,"1,547",...,...,...,36.70,...,,,,,,,,,,,,,,,,,,,,
Criminologists,604,...,"33,960",...,"11,610","2,832","8,778",...,...,...,34.19,...,,,,,,,,,,,,,,,,,,,,
Customs Brokers,65,...,821,...,282,121,161,...,...,...,34.35,...,,,,,,,,,,,,,,,,,,,,
Dentists (Practical only),,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,
Electronics Engineers,170,...,"1,483",...,710,249,461,...,...,...,47.88,...,,,,,,,,,,,,,,,,,,,,
Environmental Planners,,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,
Fisheries Technologists,78,...,714,...,211,125,86,...,...,...,29.55,...,,,,,,,,,,,,,,,,,,,,
Foresters,59,...,761,...,443,233,210,...,...,...,58.21,...,,,,,,,,,,,,,,,,,,,,
Geodetic Engineers,43,...,694,...,375,161,214,...,...,...,54.03,...,,,,,,,,,,,,,,,,,,,,
Geologists,6,...,108,...,64,27,37,...,...,...,59.26,...,,,,,,,,,,,,,,,,,,,,
Guidance Counselors,…,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,
Interior Designers,…,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,
Landscape Architects,…,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,
Librarians,53,...,237,...,113,84,29,...,...,...,47.68,...,,,,,,,,,,,,,,,,,,,,
Mechanical Engineers,65,156,621,"3,469",247,27,220,"1,334",269,"1,065",39.77,38.45,,,,,,,,,,,,,,,,,,,,
Medical Technologists,129,...,"6,086",...,"3,840","2,914",926,...,...,...,63.10,...,,,,,,,,,,,,,,,,,,,,
Metallurgical Engineers,2,...,81,...,50,27,23,...,...,...,61.73,...,,,,,,,,,,,,,,,,,,,,
Midwives,221,...,"1,771",...,908,854,54,...,...,...,51.27,...,,,,,,,,,,,,,,,,,,,,
Mining Engineers,8,...,274,...,206,101,105,...,...,...,75.18,...,,,,,,,,,,,,,,,,,,,,
Naval Architecture & Marine Engineers,5,...,66,...,33,10,23,...,...,...,50.00,...,,,,,,,,,,,,,,,,,,,,
Nurses,478,...,"19,573",...,"11,094","8,561","2,533",...,...,...,56.68,...,,,,,,,,,,,,,,,,,,,,
Nutritionists-Dietitians,52,...,528,...,305,245,60,...,...,...,57.77,...,,,,,,,,,,,,,,,,,,,,
Occupational Therapists,22,23,400,216,283,229,54,159,129,30,70.75 ,73.61 ,,,,,,,,,,,,,,,,,,,,
Optometrists ,9,...,488,...,432,304,128,...,...,...,88.52 ,...,,,,,,,,,,,,,,,,,,,,
Pharmacists,101,...,"5,876",...,"3,427","2,883",544,...,...,...,58.32 ,...,,,,,,,,,,,,,,,,,,,,
Physical Therapists,79,82,"1,418","1,195",978,651,327,729,451,278,68.97 ,61.00,,,,,,,,,,,,,,,,,,,,
Physicians,60,57,"5,767","6,108","3,995","2,524","1,471","4,402","1,612","2,790",69.27 ,72.07 ,,,,,,,,,,,,,,,,,,,,
Psychologist,…,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,
Psychometricians,…,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,
Radiologic Technologists,99,...,"4,093",...,"1,562",936,626,...,...,...,38.16 ,...,,,,,,,,,,,,,,,,,,,,
Registered Electrical Engineers,316,...,"2,587",...,"1,668",294,"1,374",...,...,...,64.48 ,...,,,,,,,,,,,,,,,,,,,,
Respiratory Therapists,12,...,653,...,403,284,119,...,...,...,61.72 ,...,,,,,,,,,,,,,,,,,,,,
Sanitary Engineers,12,10,275,101,160,71,89,63,34,29,58.18 ,62.38 ,,,,,,,,,,,,,,,,,,,,
Social Workers,101,...,"3,094",...,"1,107",874,233,...,...,...,35.78 ,...,,,,,,,,,,,,,,,,,,,,
Teachers-Elementary level,811,...,"8,726",...,"4,883","4,025",858,...,...,...,55.96 ,...,,,,,,,,,,,,,,,,,,,,
Teachers-Secondary level,"1,347",...,"17,862",...,"10,318","7,306","3,012",...,...,...,57.77 ,...,,,,,,,,,,,,,,,,,,,,
Veterinarians,23,...,"1,416",...,568,343,225,...,...,...,40.11 ,...,,,,,,,,,,,,,,,,,,,,
X-Ray Technologists,39,...,232,...,65,37,28,...,...,...,28.02 ,...,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Only CHED monitored licensure examinations are included. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Various licensure examinations has been cancelled/re scheduled due to the COVID-19 pandemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Professional Regulation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
